city,slug,year,diagnostic_scope,status,file,masselot_historical_tmax_C,n_days,citymean_max_C,citymean_days_above_tmax,citymean_share_days_above_tmax,support_table_pixel_max_C,support_table_warmseason_max_C
Rome,rome,2020.0,daily_event_citymean,ok,/Users/armandeaboudrar-meda/Desktop/CMCC/URBADAPT-HEAT/urban-heat/outputs/rome/interim/hazard_events_T2M_daily_rome.csv,30.31,366.0,24.25479,0.0,0.0,29.913999557495117,28.19885138947431
Rome,rome,2030.0,daily_event_citymean,ok,/Users/armandeaboudrar-meda/Desktop/CMCC/URBADAPT-HEAT/urban-heat/outputs/rome/interim/hazard_events_T2M_daily_rome.csv,30.31,365.0,24.707245,0.0,0.0,30.44002914428711,28.724881221388102
Rome,rome,2040.0,daily_event_citymean,ok,/Users/armandeaboudrar-meda/Desktop/CMCC/URBADAPT-HEAT/urban-heat/outputs/rome/interim/hazard_events_T2M_daily_rome.csv,30.31,366.0,24.83741,0.0,0.0,30.59136009216309,28.876210948794935
Rome,rome,2050.0,daily_event_citymean,ok,/Users/armandeaboudrar-meda/Desktop/CMCC/URBADAPT-HEAT/urban-heat/outputs/rome/interim/hazard_events_T2M_daily_rome.csv,30.31,365.0,25.10329,0.0,0.0,30.90047264099121,29.18532406538046
Athens,athens,2020.0,daily_event_citymean,ok,/Users/armandeaboudrar-meda/Desktop/CMCC/URBADAPT-HEAT/urban-heat/outputs/athens/interim/hazard_events_T2M_daily_athens.csv,34.09,366.0,20.111938,0.0,0.0,32.446998596191406,29.66627036305175
Athens,athens,2030.0,daily_event_citymean,ok,/Users/armandeaboudrar-meda/Desktop/CMCC/URBADAPT-HEAT/urban-heat/outputs/athens/interim/hazard_events_T2M_daily_athens.csv,34.09,365.0,20.477411,0.0,0.0,32.9860954284668,30.20536710558344
Athens,athens,2040.0,daily_event_citymean,ok,/Users/armandeaboudrar-meda/Desktop/CMCC/URBADAPT-HEAT/urban-heat/outputs/athens/interim/hazard_events_T2M_daily_athens.csv,34.09,366.0,20.533234,0.0,0.0,33.06843185424805,30.287703069448582
Athens,athens,2050.0,daily_event_citymean,ok,/Users/armandeaboudrar-meda/Desktop/CMCC/URBADAPT-HEAT/urban-heat/outputs/athens/interim/hazard_events_T2M_daily_athens.csv,34.09,365.0,20.731516,0.0,0.0,33.36091613769531,30.580185681768786
Lisbon,lisbon,2020.0,daily_event_citymean,ok,/Users/armandeaboudrar-meda/Desktop/CMCC/URBADAPT-HEAT/urban-heat/outputs/lisbon/interim/hazard_events_T2M_daily_lisbon.csv,31.26,366.0,13.767115,0.0,0.0,27.02400016784668,24.67486393831368
Lisbon,lisbon,2030.0,daily_event_citymean,ok,/Users/armandeaboudrar-meda/Desktop/CMCC/URBADAPT-HEAT/urban-heat/outputs/lisbon/interim/hazard_events_T2M_daily_lisbon.csv,31.26,365.0,13.921621,0.0,0.0,27.300922393798828,24.951785901689387
Lisbon,lisbon,2040.0,daily_event_citymean,ok,/Users/armandeaboudrar-meda/Desktop/CMCC/URBADAPT-HEAT/urban-heat/outputs/lisbon/interim/hazard_events_T2M_daily_lisbon.csv,31.26,366.0,14.036211,0.0,0.0,27.506301879882812,25.157165922359237
Lisbon,lisbon,2050.0,daily_event_citymean,ok,/Users/armandeaboudrar-meda/Desktop/CMCC/URBADAPT-HEAT/urban-heat/outputs/lisbon/interim/hazard_events_T2M_daily_lisbon.csv,31.26,365.0,14.112477,0.0,0.0,27.642993927001953,25.293858476595403
Copenhagen,copenhagen,2020.0,daily_event_citymean,ok,/Users/armandeaboudrar-meda/Desktop/CMCC/URBADAPT-HEAT/urban-heat/outputs/copenhagen/interim/hazard_events_T2M_daily_copenhagen.csv,25.09,366.0,19.7450981916869,0.0,0.0,0.0,0.0
Copenhagen,copenhagen,2030.0,daily_event_citymean,ok,/Users/armandeaboudrar-meda/Desktop/CMCC/URBADAPT-HEAT/urban-heat/outputs/copenhagen/interim/hazard_events_T2M_daily_copenhagen.csv,25.09,365.0,20.049254757000845,0.0,0.0,2.1031246185302734,1.0714860532798711
Copenhagen,copenhagen,2040.0,daily_event_citymean,ok,/Users/armandeaboudrar-meda/Desktop/CMCC/URBADAPT-HEAT/urban-heat/outputs/copenhagen/interim/hazard_events_T2M_daily_copenhagen.csv,25.09,366.0,20.39442802263232,0.0,0.0,2.47247314453125,1.3549775993720452
Copenhagen,copenhagen,2050.0,daily_event_citymean,ok,/Users/armandeaboudrar-meda/Desktop/CMCC/URBADAPT-HEAT/urban-heat/outputs/copenhagen/interim/hazard_events_T2M_daily_copenhagen.csv,25.09,365.0,20.608357737719132,0.0,0.0,2.644124984741211,1.497923484525823
Amsterdam,amsterdam,,daily_event_citymean,missing_daily_event_csv,/Users/armandeaboudrar-meda/Desktop/CMCC/URBADAPT-HEAT/urban-heat/outputs/amsterdam/interim/hazard_events_T2M_daily_amsterdam.csv,28.97,,,,,,
Barcelona,barcelona,,daily_event_citymean,missing_daily_event_csv,/Users/armandeaboudrar-meda/Desktop/CMCC/URBADAPT-HEAT/urban-heat/outputs/barcelona/interim/hazard_events_T2M_daily_barcelona.csv,29.25,,,,,,
Berlin,berlin,,daily_event_citymean,missing_daily_event_csv,/Users/armandeaboudrar-meda/Desktop/CMCC/URBADAPT-HEAT/urban-heat/outputs/berlin/interim/hazard_events_T2M_daily_berlin.csv,30.1,,,,,,
Bologna,bologna,,daily_event_citymean,missing_daily_event_csv,/Users/armandeaboudrar-meda/Desktop/CMCC/URBADAPT-HEAT/urban-heat/outputs/bologna/interim/hazard_events_T2M_daily_bologna.csv,33.32,,,,,,
Bratislava,bratislava,,daily_event_citymean,missing_daily_event_csv,/Users/armandeaboudrar-meda/Desktop/CMCC/URBADAPT-HEAT/urban-heat/outputs/bratislava/interim/hazard_events_T2M_daily_bratislava.csv,30.88,,,,,,
Brussels,brussels,,daily_event_citymean,missing_daily_event_csv,/Users/armandeaboudrar-meda/Desktop/CMCC/URBADAPT-HEAT/urban-heat/outputs/brussels/interim/hazard_events_T2M_daily_brussels.csv,29.08,,,,,,
Bucharest,bucharest,,daily_event_citymean,missing_daily_event_csv,/Users/armandeaboudrar-meda/Desktop/CMCC/URBADAPT-HEAT/urban-heat/outputs/bucharest/interim/hazard_events_T2M_daily_bucharest.csv,32.28,,,,,,
Budapest,budapest,,daily_event_citymean,missing_daily_event_csv,/Users/armandeaboudrar-meda/Desktop/CMCC/URBADAPT-HEAT/urban-heat/outputs/budapest/interim/hazard_events_T2M_daily_budapest.csv,32.48,,,,,,
Cologne,cologne,,daily_event_citymean,missing_daily_event_csv,/Users/armandeaboudrar-meda/Desktop/CMCC/URBADAPT-HEAT/urban-heat/outputs/cologne/interim/hazard_events_T2M_daily_cologne.csv,31.1,,,,,,
Dublin,dublin,,daily_event_citymean,missing_daily_event_csv,/Users/armandeaboudrar-meda/Desktop/CMCC/URBADAPT-HEAT/urban-heat/outputs/dublin/interim/hazard_events_T2M_daily_dublin.csv,21.17,,,,,,
Hamburg,hamburg,,daily_event_citymean,missing_daily_event_csv,/Users/armandeaboudrar-meda/Desktop/CMCC/URBADAPT-HEAT/urban-heat/outputs/hamburg/interim/hazard_events_T2M_daily_hamburg.csv,28.22,,,,,,
Helsinki,helsinki,,daily_event_citymean,missing_daily_event_csv,/Users/armandeaboudrar-meda/Desktop/CMCC/URBADAPT-HEAT/urban-heat/outputs/helsinki/interim/hazard_events_T2M_daily_helsinki.csv,25.72,,,,,,
Ljubljana,ljubljana,,daily_event_citymean,missing_daily_event_csv,/Users/armandeaboudrar-meda/Desktop/CMCC/URBADAPT-HEAT/urban-heat/outputs/ljubljana/interim/hazard_events_T2M_daily_ljubljana.csv,29.04,,,,,,
Lyon,lyon,,daily_event_citymean,missing_daily_event_csv,/Users/armandeaboudrar-meda/Desktop/CMCC/URBADAPT-HEAT/urban-heat/outputs/lyon/interim/hazard_events_T2M_daily_lyon.csv,31.0,,,,,,
Madrid,madrid,,daily_event_citymean,missing_daily_event_csv,/Users/armandeaboudrar-meda/Desktop/CMCC/URBADAPT-HEAT/urban-heat/outputs/madrid/interim/hazard_events_T2M_daily_madrid.csv,32.3,,,,,,
Marseille,marseille,,daily_event_citymean,missing_daily_event_csv,/Users/armandeaboudrar-meda/Desktop/CMCC/URBADAPT-HEAT/urban-heat/outputs/marseille/interim/hazard_events_T2M_daily_marseille.csv,29.99,,,,,,
Milan,milan,,daily_event_citymean,missing_daily_event_csv,/Users/armandeaboudrar-meda/Desktop/CMCC/URBADAPT-HEAT/urban-heat/outputs/milan/interim/hazard_events_T2M_daily_milan.csv,31.57,,,,,,
Munich,munich,,daily_event_citymean,missing_daily_event_csv,/Users/armandeaboudrar-meda/Desktop/CMCC/URBADAPT-HEAT/urban-heat/outputs/munich/interim/hazard_events_T2M_daily_munich.csv,27.43,,,,,,
Nantes,nantes,,daily_event_citymean,missing_daily_event_csv,/Users/armandeaboudrar-meda/Desktop/CMCC/URBADAPT-HEAT/urban-heat/outputs/nantes/interim/hazard_events_T2M_daily_nantes.csv,29.85,,,,,,
